Date,Country_Region,Province_State,Lat,Long,Confirmed,Recovered,Deaths
4/1/2020,Denmark,Faroe Islands,61.8926,-6.9118,173,75,0
4/1/2020,Greenland,Greenland,71.7069,-42.6043,10,2,0
4/1/2020,Diamond Princess,,0,0,712,603,11
4/1/2020,Djibouti,,11.8251,42.5903,33,0,0
4/1/2020,Dominica,,15.415,-61.371,12,0,0
4/1/2020,Dominican Rep.,,18.7357,-70.1627,1284,9,57
4/1/2020,Ecuador,,-1.8312,-78.1834,2748,58,93
4/1/2020,Egypt,,26,30,779,179,52
4/1/2020,El Salvador,,13.7942,-88.8965,32,0,1
4/1/2020,Eq. Guinea,,1.5,10,15,1,0
4/1/2020,Eritrea,,15.1794,39.7823,15,0,0
4/1/2020,Estonia,,58.5953,25.0136,779,33,5
4/1/2020,eSwatini,,-26.5225,31.4659,9,0,0
4/1/2020,Ethiopia,,9.145,40.4897,29,2,0
4/1/2020,Fiji,,-17.7134,178.065,5,0,0
4/1/2020,Finland,,64,26,1446,10,17
4/1/2020,France,,46.2276,2.2137,56989,10934,4032
4/1/2020,France,French Guiana,3.9339,-53.1258,51,15,0
4/1/2020,France,French Polynesia,-17.6797,149.4068,37,0,0
4/1/2020,France,Guadeloupe,16.25,-61.5833,125,24,6
4/1/2020,France,Martinique,14.6415,-61.0242,135,27,3
4/1/2020,France,Mayotte,-12.8275,45.1662,94,10,1
4/1/2020,New Caledonia,New Caledonia,-20.9043,165.618,16,0,0
4/1/2020,France,Reunion,-21.1351,55.2471,281,40,0
4/1/2020,France,Saint Barthelemy,17.9,-62.8333,6,1,0
4/1/2020,France,Saint Pierre and Miquelon,46.8852,-56.3159,0,0,0
4/1/2020,France,St Martin,18.0708,-63.0501,15,2,1
4/1/2020,Gabon,,-0.8037,11.6094,18,0,1
4/1/2020,Gambia,,13.4432,-15.3101,4,2,1
4/1/2020,Georgia,,42.3154,43.3569,117,23,0
4/1/2020,Germany,,51,9,77872,18700,920
4/1/2020,Ghana,,7.9465,-1.0232,195,31,5
4/1/2020,Greece,,39.0742,21.8243,1415,52,50
4/1/2020,Grenada,,12.1165,-61.679,9,0,0
4/1/2020,Guatemala,,15.7835,-90.2308,39,12,1
4/1/2020,Guinea-Bissau,,11.8037,-15.1804,9,0,0
4/1/2020,Guinea,,9.9456,-9.6966,30,0,0
4/1/2020,Guyana,,5,-58.75,19,0,2
4/1/2020,Haiti,,18.9712,-72.2852,16,1,0
4/1/2020,Holy See,,41.9029,12.4534,6,0,0
4/1/2020,Honduras,,15.2,-86.2419,172,3,10
4/1/2020,Hungary,,47.1625,19.5033,525,40,20
4/1/2020,Iceland,,64.9631,-19.0208,1220,225,2
4/1/2020,India,,21,78,1998,148,58
4/1/2020,Indonesia,,-0.7893,113.9213,1677,103,157
4/1/2020,Iran,,32,53,47593,15473,3036
4/1/2020,Iraq,,33,44,728,182,52
4/1/2020,Ireland,,53.1424,-7.6921,3447,5,85
4/1/2020,Israel,,31,35,6092,241,26
4/1/2020,Italy,,43,12,110574,16847,13155
4/1/2020,Jamaica,,18.1096,-77.2975,44,2,3
4/1/2020,Japan,,36,138,2178,472,57
4/1/2020,Jordan,,31.24,36.51,278,36,5
4/1/2020,Kazakhstan,,48.0196,66.9237,380,26,3
4/1/2020,Kenya,,-0.0236,37.9062,81,3,1
4/1/2020,South Korea,,36,128,9887,5567,165
4/1/2020,Kosovo,,42.602636,20.902977,125,10,1
4/1/2020,Kuwait,,29.5,47.75,317,80,0
4/1/2020,Kyrgyzstan,,41.2044,74.7661,111,3,0
4/1/2020,Laos,,19.85627,102.495496,10,0,0
4/1/2020,Latvia,,56.8796,24.6032,446,1,0
4/1/2020,Lebanon,,33.8547,35.8623,479,43,14
4/1/2020,Liberia,,6.4281,-9.4295,6,0,0
4/1/2020,Libya,,26.3351,17.228331,10,0,0
4/1/2020,Liechtenstein,,47.14,9.55,68,0,0
4/1/2020,Lithuania,,55.1694,23.8813,581,7,8
4/1/2020,Luxembourg,,49.8153,6.1296,2319,80,29
4/1/2020,MS Zaandam,,0,0,9,0,2
4/1/2020,Madagascar,,-18.7669,46.8691,57,0,0
